page,country,rev_id,FIPS,Name,Type,TimeFrame,Data (M),Population,_merge
Daniel Herman,Czech Republic,807334657.0,,,,,,,left_only
Jan Hamáček,Czech Republic,807353609.0,,,,,,,left_only
Michal Horáček,Czech Republic,807358143.0,,,,,,,left_only
Václav Klaus,Czech Republic,807382193.0,,,,,,,left_only
Martin Kuba,Czech Republic,807394304.0,,,,,,,left_only
Martin Říman,Czech Republic,807394725.0,,,,,,,left_only
Kateřina Valachová,Czech Republic,807399097.0,,,,,,,left_only
Vladimír Tošovský,Czech Republic,807415625.0,,,,,,,left_only
Pavel Svoboda,Czech Republic,807416099.0,,,,,,,left_only
Petr Fiala,Czech Republic,807420515.0,,,,,,,left_only
Vladimír Špidla,Czech Republic,807462107.0,,,,,,,left_only
Timoteo Menéndez,Salvadoran,566504165.0,,,,,,,left_only
Joaquín Escolán y Balibrera,Salvadoran,679294949.0,,,,,,,left_only
Fermín Palacios,Salvadoran,705353491.0,,,,,,,left_only
Eugenio Aguilar,Salvadoran,705353565.0,,,,,,,left_only
Tomás Medina,Salvadoran,705353584.0,,,,,,,left_only
Ramón Rodríguez (Salvadoran politician),Salvadoran,705353647.0,,,,,,,left_only
Vicente Gómez,Salvadoran,705353678.0,,,,,,,left_only
Lorenzo Zepeda,Salvadoran,705353843.0,,,,,,,left_only
José María Peralta,Salvadoran,705353896.0,,,,,,,left_only
Francisco Menéndez,Salvadoran,705353975.0,,,,,,,left_only
Pedro José Escalón,Salvadoran,705354095.0,,,,,,,left_only
Fernando Figueroa,Salvadoran,705354112.0,,,,,,,left_only
Carlos Meléndez (politician),Salvadoran,705354212.0,,,,,,,left_only
Fabio Castillo Figueroa,Salvadoran,705385310.0,,,,,,,left_only
Ricardo Montenegro,Salvadoran,706769596.0,,,,,,,left_only
Rafael Campo,Salvadoran,707399758.0,,,,,,,left_only
Miguel Santín del Castillo,Salvadoran,707400213.0,,,,,,,left_only
Osmín Aguirre y Salinas,Salvadoran,707403482.0,,,,,,,left_only
Eusebio Rodolfo Cordón Cea,Salvadoran,707404888.0,,,,,,,left_only
Juan José Guzmán,Salvadoran,707519272.0,,,,,,,left_only
Juan José Cañas,Salvadoran,708089470.0,,,,,,,left_only
José Gregorio Salazar,Salvadoran,710543364.0,,,,,,,left_only
Diego Vigil Cocaña,Salvadoran,710555824.0,,,,,,,left_only
Nicolás Espinoza,Salvadoran,710578840.0,,,,,,,left_only
Pedro Barriere,Salvadoran,710677703.0,,,,,,,left_only
Joaquín de San Martín,Salvadoran,710828020.0,,,,,,,left_only
José Félix Quirós,Salvadoran,714256648.0,,,,,,,left_only
Edgardo Carlos Suárez Mallagray,Salvadoran,717903674.0,,,,,,,left_only
Aníbal Portillo,Salvadoran,720419598.0,,,,,,,left_only
José Francisco Valiente,Salvadoran,720478176.0,,,,,,,left_only
Diego de Holguín,Salvadoran,720623176.0,,,,,,,left_only
Sigfrido Reyes Morales,Salvadoran,720633452.0,,,,,,,left_only
Manuel Enrique Araujo,Salvadoran,723277343.0,,,,,,,left_only
Joaquín Eufrasio Guzmán,Salvadoran,730854147.0,,,,,,,left_only
Francisco Malespín,Salvadoran,730864227.0,,,,,,,left_only
Rodrigo Ávila,Salvadoran,733791467.0,,,,,,,left_only
Mario Aguiñada Carranza,Salvadoran,736491718.0,,,,,,,left_only
David Rodríguez Rivera,Salvadoran,738362225.0,,,,,,,left_only
Carlos Ezeta,Salvadoran,741190933.0,,,,,,,left_only
Andrés Ignacio Menéndez,Salvadoran,742279612.0,,,,,,,left_only
Gerardo Barrios,Salvadoran,743252984.0,,,,,,,left_only
Rubén Zamora,Salvadoran,748418081.0,,,,,,,left_only
Antonio José Cañas,Salvadoran,749973666.0,,,,,,,left_only
José Atilio Benítez Parada,Salvadoran,749976455.0,,,,,,,left_only
Violeta Menjívar,Salvadoran,757618572.0,,,,,,,left_only
Santiago González (politician),Salvadoran,757977772.0,,,,,,,left_only
Rosa Amelia Guzmán,Salvadoran,758287489.0,,,,,,,left_only
Gloria Salguero Gross,Salvadoran,758288293.0,,,,,,,left_only
David Joaquín Guzmán,Salvadoran,765528693.0,,,,,,,left_only
Francisco Gómez (El Salvador President),Salvadoran,766757526.0,,,,,,,left_only
Francisco Dueñas,Salvadoran,769575358.0,,,,,,,left_only
Rafael Zaldívar,Salvadoran,770682721.0,,,,,,,left_only
Óscar Ortiz (El Salvador),Salvadoran,774857245.0,,,,,,,left_only
José Damián Villacorta,Salvadoran,777601256.0,,,,,,,left_only
José Escolástico Marín,Salvadoran,777602660.0,,,,,,,left_only
José María Cornejo,Salvadoran,777612972.0,,,,,,,left_only
José María Peralta Lagos,Salvadoran,777613551.0,,,,,,,left_only
José María San Martín,Salvadoran,777613737.0,,,,,,,left_only
José María Silva,Salvadoran,777613786.0,,,,,,,left_only
Juan Manuel Rodríguez,Salvadoran,777685186.0,,,,,,,left_only
Juan Vicente Villacorta Díaz,Salvadoran,777698313.0,,,,,,,left_only
Juan José Daboub,Salvadoran,778564487.0,,,,,,,left_only
José Arturo Vásquez Machado,Salvadoran,779894617.0,,,,,,,left_only
Andrés del Valle,Salvadoran,779931580.0,,,,,,,left_only
Lilian Mercedes Letona,Salvadoran,780552804.0,,,,,,,left_only
Carlos Quintanilla Schmidt,Salvadoran,780701356.0,,,,,,,left_only
Enrique Álvarez Córdova,Salvadoran,781102914.0,,,,,,,left_only
Arturo Araujo,Salvadoran,782520448.0,,,,,,,left_only
Rubén Alonso Rosales,Salvadoran,782652818.0,,,,,,,left_only
Mariano Prado,Salvadoran,783472679.0,,,,,,,left_only
Pío Romero Bosque,Salvadoran,784506431.0,,,,,,,left_only
Alfonso Quiñónez Molina,Salvadoran,785229840.0,,,,,,,left_only
Jorge Meléndez,Salvadoran,786063735.0,,,,,,,left_only
Carmen Elena Figueroa,Salvadoran,786068145.0,,,,,,,left_only
Felipe Codallos,Salvadoran,786492357.0,,,,,,,left_only
Tomás Regalado (Salvadoran politician),Salvadoran,786492366.0,,,,,,,left_only
Doroteo Vasconcelos,Salvadoran,788264133.0,,,,,,,left_only
Alfredo Cristiani,Salvadoran,788447923.0,,,,,,,left_only
Óscar Osorio,Salvadoran,791821555.0,,,,,,,left_only
Lourdes Rodríguez de Flores,Salvadoran,791907279.0,,,,,,,left_only
Álvaro Magaña,Salvadoran,791907345.0,,,,,,,left_only
Salvador Castaneda Castro,Salvadoran,791911972.0,,,,,,,left_only
Julio Adalberto Rivera Carballo,Salvadoran,792385744.0,,,,,,,left_only
Carlos Salazar Castro,Salvadoran,793184472.0,,,,,,,left_only
Maximiliano Hernández Martínez,Salvadoran,793642670.0,,,,,,,left_only
Reynaldo Galindo Pohl,Salvadoran,794052085.0,,,,,,,left_only
Ciro Cruz Zepeda,Salvadoran,794459622.0,,,,,,,left_only
Ana Ligia Mixco Sol de Saca,Salvadoran,794561394.0,,,,,,,left_only
Carlos Humberto Romero,Salvadoran,794988963.0,,,,,,,left_only
Ana María,Salvadoran,795573859.0,,,,,,,left_only
Arturo Armando Molina,Salvadoran,796131598.0,,,,,,,left_only
Carlos Eugenio Vides Casanova,Salvadoran,797151261.0,,,,,,,left_only
Miguel Álvarez Castro,Salvadoran,798306895.0,,,,,,,left_only
José Guillermo García,Salvadoran,798460321.0,,,,,,,left_only
Marisol Argueta de Barillas,Salvadoran,798896224.0,,,,,,,left_only
René Emilio Ponce,Salvadoran,799918049.0,,,,,,,left_only
Guillermo Ungo,Salvadoran,800478736.0,,,,,,,left_only
Antonio Saca,Salvadoran,802075785.0,,,,,,,left_only
Hugo Lindo,Salvadoran,802944082.0,,,,,,,left_only
Schafik Handal,Salvadoran,803674894.0,,,,,,,left_only
Ana Vilma de Escobar,Salvadoran,803927035.0,,,,,,,left_only
Juan Lindo,Salvadoran,804134156.0,,,,,,,left_only
Mauricio Funes,Salvadoran,804528819.0,,,,,,,left_only
Vice President of El Salvador,Salvadoran,804538892.0,,,,,,,left_only
Francisco Flores Pérez,Salvadoran,804606321.0,,,,,,,left_only
José Napoleón Duarte,Salvadoran,804809409.0,,,,,,,left_only
Armando Calderón Sol,Salvadoran,804991452.0,,,,,,,left_only
Fidel Sánchez Hernández,Salvadoran,805353238.0,,,,,,,left_only
Rafael Antonio Gutiérrez,Salvadoran,805474907.0,,,,,,,left_only
Irma Dimas,Salvadoran,806010405.0,,,,,,,left_only
Manuel José Arce,Salvadoran,806057984.0,,,,,,,left_only
President of El Salvador,Salvadoran,806101149.0,,,,,,,left_only
José Matías Delgado,Salvadoran,806731535.0,,,,,,,left_only
Vanda Pignato,Salvadoran,806958982.0,,,,,,,left_only
José María Lemus,Salvadoran,807175924.0,,,,,,,left_only
Salvador Sánchez Cerén,Salvadoran,807210786.0,,,,,,,left_only
Gervas Clay,Rhodesian,574571582.0,,,,,,,left_only
Harry Davies (politician),Rhodesian,669387487.0,,,,,,,left_only
William Fairbridge,Rhodesian,682576258.0,,,,,,,left_only
Washington Malianga,Rhodesian,711506001.0,,,,,,,left_only
Ronald Snapper,Rhodesian,712233907.0,,,,,,,left_only
Gerald B. Clarke,Rhodesian,747497059.0,,,,,,,left_only
Francis Chaplin,Rhodesian,763530115.0,,,,,,,left_only
Roger Hawkins (politician),Rhodesian,763533706.0,,,,,,,left_only
George Mitchell (Rhodesia),Rhodesian,763540238.0,,,,,,,left_only
John Landau,Rhodesian,763870152.0,,,,,,,left_only
Byron Hove,Rhodesian,763951988.0,,,,,,,left_only
Hilary Squires,Rhodesian,766847256.0,,,,,,,left_only
Cecil Dennistoun Burney,Rhodesian,774837666.0,,,,,,,left_only
Mark Partridge,Rhodesian,780260926.0,,,,,,,left_only
Prime Minister of Rhodesia,Rhodesian,782602484.0,,,,,,,left_only
Leo Cardwell Ross,Rhodesian,783150296.0,,,,,,,left_only
Josiah Gondo,Rhodesian,783150589.0,,,,,,,left_only
Dunduzu Chisiza,Rhodesian,783301534.0,,,,,,,left_only
Allan Ross Welsh,Rhodesian,784562559.0,,,,,,,left_only
John Moore Caldicott,Rhodesian,784757829.0,,,,,,,left_only
John Ralph Beaumont,Rhodesian,784758963.0,,,,,,,left_only
Leonard Ray Morgan,Rhodesian,784769027.0,,,,,,,left_only
Raleigh Grey,Rhodesian,784826325.0,,,,,,,left_only
Robert Clarkson Tredgold,Rhodesian,784830601.0,,,,,,,left_only
Robert James Hudson,Rhodesian,784831407.0,,,,,,,left_only
William Harper (Rhodesian politician),Rhodesian,784870217.0,,,,,,,left_only
Rowan Cronjé,Rhodesian,784974615.0,,,,,,,left_only
Edgar Whitehead,Rhodesian,786601705.0,,,,,,,left_only
Henry Hamilton Beamish,Rhodesian,786659504.0,,,,,,,left_only
Lionel Cripps,Rhodesian,787105083.0,,,,,,,left_only
A. R. Colquhoun,Rhodesian,787147677.0,,,,,,,left_only
John McChlery,Rhodesian,787854502.0,,,,,,,left_only
Jeremiah Chirau,Rhodesian,789545107.0,,,,,,,left_only
Winston Field,Rhodesian,789689591.0,,,,,,,left_only
Howard Unwin Moffat,Rhodesian,790010191.0,,,,,,,left_only
Ken Flower,Rhodesian,794528943.0,,,,,,,left_only
Andrew Skeen (Rhodesia),Rhodesian,795348776.0,,,,,,,left_only
Hugh Beadle,Rhodesian,795369277.0,,,,,,,left_only
Hugh Marshall Hole,Rhodesian,795483112.0,,,,,,,left_only
Roy Welensky,Rhodesian,797314307.0,,,,,,,left_only
Abel Muzorewa,Rhodesian,797407618.0,,,,,,,left_only
Signatories of Rhodesia's Unilateral Declaration of Independence,Rhodesian,797546082.0,,,,,,,left_only
Jack Howman,Rhodesian,798384751.0,,,,,,,left_only
Ethel Tawse Jollie,Rhodesian,798492985.0,,,,,,,left_only
Alan David Butler,Rhodesian,799332728.0,,,,,,,left_only
Jack William Pithey,Rhodesian,799548505.0,,,,,,,left_only
President of Rhodesia,Rhodesian,799548556.0,,,,,,,left_only
